id,x,y,z,qx,qy,qz,qw
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,5.30,0.31,0.0,0.0,0.0,0.0,1.0
2,4.99,4.97,0.0,0.0,0.0,0.0,1.0
3,2.12,5.00,0.0,0.0,0.0,0.0,1.0
